(business1)
%/NN	TF: 8
costs/NNS	TF: 1
countries/NNS	TF: 1
described/VBD	TF: 1
developing/VBG	TF: 2
development/NN	TF: 1
device/NN	TF: 2
digital/NNP	TF: 3
discussion/NN	TF: 1
display/NN	TF: 1
distribute/VB	TF: 1
distributing/VBG	TF: 1
do/VB	TF: 2
doing/VBG	TF: 1
education/NN	TF: 3
end/NN	TF: 1
expected/VBN	TF: 1
experiments/NNS	TF: 1
exported/VBN	TF: 1
family/NN	TF: 1
fat/NN	TF: 1
floats/VBZ	TF: 1
founder/NN	TF: 1
gain/VB	TF: 1
games/NNS	TF: 1
gave/VBD	TF: 1
get/VB	TF: 2
getting/VBG	TF: 1
given/VBN	TF: 1
go/NNP	TF: 1
go/VB	TF: 2
going/VBG	TF: 1
guru/NN	TF: 1
has/VBZ	TF: 2
have/VBP	TF: 1
home/NN	TF: 1
hoped/VBD	TF: 1
idea/NN	TF: 2
image/NN	TF: 1
is/VBZ	TF: 5
keep/VB	TF: 1
kids/NNS	TF: 1
kit/NN	TF: 1
labs/NNP	TF: 1
laptop/NN	TF: 3
laptops/NNS	TF: 5
laptops/VBP	TF: 1
machine/NN	TF: 1
maine/NNP	TF: 1
make/VB	TF: 2
make/VBP	TF: 1
making/VBG	TF: 1
manufacturers/NNS	TF: 1
marketing/NN	TF: 1
media/NNP	TF: 1
memory/NN	TF: 1
ministries/NNS	TF: 1
ministry/NN	TF: 1
mit/NNP	TF: 1
money/NN	TF: 1
months/NNS	TF: 1
mr/NNP	TF: 4
need/VBP	TF: 1
negroponte/NNP	TF: 5
neighbourhood/NN	TF: 1
nicholas/NNP	TF: 1
nokia/NNP	TF: 1
number/NN	TF: 1
operating/NN	TF: 1
order/NN	TF: 1
overheads/NNS	TF: 1
panel/NN	TF: 1
parts/NNS	TF: 1
pc/NN	TF: 1
pc/NNP	TF: 1
phones/NNS	TF: 2
plans/VBZ	TF: 1
predicting/VBG	TF: 1
problems/NNS	TF: 1
processors/NNS	TF: 1
profit/NN	TF: 1
programme/NN	TF: 1
project/NN	TF: 1
published/VBD	TF: 1
put/VBD	TF: 1
quantities/NNS	TF: 1
rear/VB	TF: 1
received/VBD	TF: 1
recognised/VBD	TF: 1
resistance/NN	TF: 1
run/VB	TF: 1
said/VBD	TF: 3
sale/NN	TF: 1
says/VBZ	TF: 1
schools/NNS	TF: 1
seen/VBN	TF: 1
sell/VB	TF: 1
service/NNP	TF: 1
set/VBD	TF: 1
skinny/VB	TF: 1
speed/NN	TF: 1
spend/VBP	TF: 1
state/NN	TF: 1
system/NN	TF: 1
take/VB	TF: 1
talking/VBG	TF: 2
teachers/NNS	TF: 1
telephone/NN	TF: 1
textbook/NN	TF: 1
textbooks/NNS	TF: 1
things/NNS	TF: 1
told/VBD	TF: 1
tool/NN	TF: 1
trick/NN	TF: 1
tv/NN	TF: 1
us/NNP	TF: 1
use/VB	TF: 2
using/VBG	TF: 1
venture/NN	TF: 1
village/NN	TF: 1
wants/VBZ	TF: 1
was/VBD	TF: 3
were/VBD	TF: 2
wife/NN	TF: 1
work/NN	TF: 2
world/NNP	TF: 1
year/NN	TF: 2
years/NNS	TF: 3
£53/NN	TF: 1


(tech5)
%/NN	TF: 2
abstract/NNP	TF: 1
according/VBG	TF: 1
action/NN	TF: 1
added/VBN	TF: 1
ai/NNP	TF: 1
animators/NNS	TF: 1
appreciate/VB	TF: 1
april/NNP	TF: 1
architecture/NNP	TF: 1
are/VBP	TF: 6
argue/VBP	TF: 1
arm/NN	TF: 1
art/NN	TF: 6
artists/NNS	TF: 4
arts/NNS	TF: 1
asking/VBG	TF: 1
be/VB	TF: 3
become/VB	TF: 1
been/VBN	TF: 5
behave/VBP	TF: 1
bell/NNP	TF: 1
borrowing/VBG	TF: 1
bricked/VBN	TF: 1
broadband/NN	TF: 3
brought/VBD	TF: 1
brussels/NNP	TF: 2
bt/NNP	TF: 5
bug/NN	TF: 1
buildings/NNS	TF: 1
business/NN	TF: 3
businesses/NNS	TF: 2
cellars/NNP	TF: 1
cement/VB	TF: 1
centres/NNS	TF: 1
century/NN	TF: 1
century/NNP	TF: 1
city/NN	TF: 2
coders/NNS	TF: 1
collaboration/NN	TF: 1
combined/VBD	TF: 1
come/VBN	TF: 1
companies/NNS	TF: 2
component/NN	TF: 1
concealing/VBG	TF: 1
conjunction/NN	TF: 1
connected/NNP	TF: 1
connections/NNS	TF: 1
core/NN	TF: 1
coudenberg/NNP	TF: 2
create/VB	TF: 2
create/VBP	TF: 1
created/VBN	TF: 2
creating/VBG	TF: 1
creativity/NN	TF: 2
dance/NN	TF: 1
danced/VBN	TF: 1
data/NN	TF: 1
designers/NNS	TF: 1
development/NN	TF: 2
disappeared/VBD	TF: 1
displayed/VBD	TF: 1
do/VB	TF: 2
drive/NN	TF: 2
economy/NN	TF: 1
elements/NNS	TF: 1
enabling/VBG	TF: 1
encounter/NNP	TF: 1
engine/NN	TF: 4
engines/NNS	TF: 1
everyone/NN	TF: 1
example/NN	TF: 1
excavated/VBN	TF: 1
excellence/NN	TF: 1
exhibit/NN	TF: 1
exhibition/NN	TF: 1
experience/NN	TF: 1
expressionist/NNP	TF: 1
features/NNS	TF: 1
firms/NNS	TF: 1
flow/NN	TF: 1
focused/VBN	TF: 1
form/NN	TF: 1
frank/NNP	TF: 1
galleries/NNS	TF: 1
game/NN	TF: 6
games/NNS	TF: 2
gaming/NN	TF: 1
get/VB	TF: 2
gets/VBZ	TF: 1
give/VB	TF: 1
given/VBN	TF: 1
gives/VBZ	TF: 1
graphics/NNS	TF: 4
growing/VBG	TF: 2
had/VBD	TF: 1
handle/VB	TF: 2
handles/VBZ	TF: 1
has/VBZ	TF: 9
have/VB	TF: 2
have/VBP	TF: 4
head/NN	TF: 1
help/NN	TF: 2
help/VB	TF: 1
hi-tech/NN	TF: 1
hope/VBP	TF: 1
hoping/VBG	TF: 1
house/NN	TF: 1
hundreds/NNS	TF: 1
idea/NN	TF: 2
ideas/NNS	TF: 3
including/VBG	TF: 1
incubating/VBG	TF: 1
industries/NNS	TF: 4
industry/NN	TF: 3
infrastructure/NN	TF: 1
initiative/NN	TF: 2
inspiration/NN	TF: 1
installation/NN	TF: 2
instance/NN	TF: 1
institutions/NNS	TF: 1
is/VBZ	TF: 18
joystick/NN	TF: 1
know/VBP	TF: 1
landscape/NN	TF: 1
langlands/NNP	TF: 1
launch/NN	TF: 1
launched/VBN	TF: 1
licensed/VBN	TF: 1
london/NNP	TF: 1
look/VBP	TF: 1
looks/VBZ	TF: 1
madrid/NNP	TF: 1
makers/NNS	TF: 1
mark/VB	TF: 1
means/NNS	TF: 1
means/VBZ	TF: 1
messages/NNS	TF: 1
model/NN	TF: 2
models/NNS	TF: 1
modernity/NN	TF: 1
mr/NNP	TF: 3
museums/NNS	TF: 1
navigated/VBN	TF: 1
net/NN	TF: 1
objects/NNS	TF: 1
offered/VBN	TF: 1
offers/VBZ	TF: 1
often/VB	TF: 1
online/VBP	TF: 1
open/VB	TF: 1
orange/NNP	TF: 1
order/NN	TF: 1
organisations/NNS	TF: 1
palace/NNP	TF: 1
part/NN	TF: 2
partnership/NN	TF: 1
past/NN	TF: 1
penetration/NN	TF: 1
people/NNS	TF: 5
person/NN	TF: 1
phone/NN	TF: 1
photos/NNS	TF: 1
picture/NN	TF: 1
planners/NNS	TF: 1
play/NN	TF: 1
potential/NN	TF: 2
power/NN	TF: 1
practices/NNS	TF: 1
problem/NN	TF: 1
program/NN	TF: 1
programmes/NNS	TF: 1
provision/NN	TF: 1
putting/VBG	TF: 1
quake/NNP	TF: 1
reaching/VBG	TF: 1
reasons/NNS	TF: 1
recreate/VB	TF: 1
relate/VBP	TF: 1
remnants/NNS	TF: 1
rendering/NNP	TF: 1
rendering/VBG	TF: 2
required/VBN	TF: 1
research/NN	TF: 1
result/VB	TF: 1
revealing/VBG	TF: 1
river/NN	TF: 3
river/NNP	TF: 1
role/NN	TF: 1
running/VBG	TF: 1
said/VBD	TF: 5
says/VBZ	TF: 1
seat/NN	TF: 2
sector/NN	TF: 1
self-expression/NN	TF: 1
senne/NNP	TF: 1
set/VBN	TF: 1
sets/NNS	TF: 1
shape/VB	TF: 1
solving/VBG	TF: 1
something/NN	TF: 1
sponsorship/NN	TF: 1
stake/NN	TF: 1
stone/NNP	TF: 4
strategies/NNS	TF: 1
street/NN	TF: 1
summer/NN	TF: 1
survival/NN	TF: 1
take/VB	TF: 1
tara/NNP	TF: 2
tech/NN	TF: 1
technologies/NNS	TF: 1
technologists/NNS	TF: 1
technology/NN	TF: 8
technology/NNP	TF: 2
telco/NN	TF: 3
thinking/NN	TF: 1
thirst/NN	TF: 1
thought/VBN	TF: 1
thousands/NNS	TF: 1
time/NN	TF: 1
tools/NNS	TF: 1
total/NNP	TF: 1
trying/VBG	TF: 2
type/NN	TF: 1
uk/NNP	TF: 3
uncovering/VBG	TF: 1
understand/VB	TF: 3
unleashing/VBG	TF: 1
upload/VB	TF: 1
use/VB	TF: 1
used/VBD	TF: 1
used/VBN	TF: 3
using/VBG	TF: 3
vein/NN	TF: 1
versa/NN	TF: 1
vice/NN	TF: 1
video/NN	TF: 2
want/VB	TF: 1
want/VBP	TF: 2
wanted/VBD	TF: 1
was/VBD	TF: 4
way/NN	TF: 1
web/NN	TF: 1
were/VBD	TF: 1
works/NNS	TF: 1
world/NN	TF: 2
world/NNP	TF: 1
worlds/NNS	TF: 3
year/NN	TF: 2
years/NNS	TF: 1


(tech6)
'we/VBN	TF: 1
a/NNP	TF: 1
actions/NNS	TF: 1
agricultural/NNP	TF: 1
agriculture/NNP	TF: 1
aims/VBZ	TF: 2
allows/VBZ	TF: 1
answer/NN	TF: 1
apply/VB	TF: 1
are/VBP	TF: 2
areas/NNS	TF: 1
attended/VBN	TF: 1
backed/VBN	TF: 1
bbc/NNP	TF: 1
been/VBN	TF: 5
belongs/VBZ	TF: 1
benefit/VB	TF: 1
board/NNP	TF: 1
build/VB	TF: 1
bulbs/NNS	TF: 2
buy/VB	TF: 1
cabin/NN	TF: 1
cafes/NN	TF: 1
capital/NN	TF: 1
carlos/NNP	TF: 2
cash/NN	TF: 1
centre/NNP	TF: 1
centres/NNS	TF: 1
centres/VBZ	TF: 1
cepes/NNP	TF: 4
charge/NN	TF: 1
cloning/VBG	TF: 1
colleagues/NNS	TF: 1
communications/NNS	TF: 1
communities/NNS	TF: 1
community/NN	TF: 4
computer/NN	TF: 4
computers/NNS	TF: 2
construction/NN	TF: 1
coordinate/VB	TF: 1
coordinator/NN	TF: 1
cuyo/NNP	TF: 2
dam/NN	TF: 1
development/NN	TF: 1
did/VBD	TF: 1
do/VB	TF: 1
do/VBP	TF: 1
education/NNP	TF: 1
electricity/NN	TF: 1
element/NN	TF: 2
elements/NNS	TF: 1
enabling/VBG	TF: 1
enthusiasm/NN	TF: 1
equipment/NN	TF: 2
european/NNP	TF: 1
experience/NN	TF: 1
experiences/NNS	TF: 1
farmers/NNP	TF: 1
farmers/NNS	TF: 7
farming/NN	TF: 1
feedback/NN	TF: 1
feel/VBP	TF: 1
find/VB	TF: 1
flagship/NN	TF: 1
generate/VB	TF: 1
generated/VBN	TF: 1
generator/NN	TF: 1
had/VBD	TF: 3
hand/NN	TF: 1
happened/VBD	TF: 1
has/VBZ	TF: 3
have/VB	TF: 2
have/VBP	TF: 5
helping/VBG	TF: 1
helps/VBZ	TF: 1
huaral.org/NN	TF: 1
huaral/NNP	TF: 2
inaugurated/VBN	TF: 1
includes/VBZ	TF: 1
information/NN	TF: 4
information/NNP	TF: 2
infrastructure/NN	TF: 1
inhabitants/NNS	TF: 2
institutions/NNS	TF: 1
internet/NN	TF: 2
involvement/NN	TF: 1
irrigation/NN	TF: 3
irrigation/NNP	TF: 1
is/VBZ	TF: 8
isolated/VBN	TF: 1
key/VBN	TF: 1
kilometres/NNS	TF: 1
land/NN	TF: 1
led/VBD	TF: 1
lessons/NNS	TF: 1
lights/NNS	TF: 1
lima/NNP	TF: 1
linked/VBN	TF: 1
links/NNS	TF: 1
lives/NNS	TF: 1
look/VB	TF: 1
make/VB	TF: 3
making/NN	TF: 1
market/NN	TF: 1
men/NNS	TF: 1
ministries/NNS	TF: 1
model/NN	TF: 1
morning/NN	TF: 1
mr/NNP	TF: 3
network/NN	TF: 5
news/NNP	TF: 1
number/NN	TF: 1
offer/VB	TF: 1
operators/NNS	TF: 1
order/NN	TF: 1
organisation/NN	TF: 1
organisations/NNS	TF: 3
organise/VB	TF: 1
people/NNS	TF: 2
peru/NNP	TF: 5
pilot/NN	TF: 2
places/NNS	TF: 1
plague/NN	TF: 1
plan/NN	TF: 1
planning/VBG	TF: 1
plots/NNS	TF: 1
power/NN	TF: 1
prevention/NN	TF: 1
prices/NNS	TF: 2
produce/NN	TF: 1
programme/NN	TF: 1
project/NN	TF: 5
project/NNP	TF: 1
promoters/NNS	TF: 1
provided/VBN	TF: 1
provides/VBZ	TF: 1
providing/VBG	TF: 1
ranging/VBG	TF: 1
reaches/VBZ	TF: 1
realised/VBD	TF: 1
recalls/VBZ	TF: 2
region/NN	TF: 2
researcher/NN	TF: 1
response/NN	TF: 1
rest/NN	TF: 1
runs/VBZ	TF: 1
said/VBD	TF: 2
saldarriaga/NNP	TF: 5
say/VBP	TF: 1
says/VBZ	TF: 1
scheme/NN	TF: 1
seeing/VBG	TF: 1
sell/VB	TF: 1
september/NNP	TF: 1
sessions/NNS	TF: 1
share/NN	TF: 1
showcase/NN	TF: 1
site/NN	TF: 1
skills/NNS	TF: 1
social/NNP	TF: 1
software/NN	TF: 1
source/NN	TF: 1
spreading/VBG	TF: 1
store/NN	TF: 1
students/NNS	TF: 1
studies/NNPS	TF: 1
success/NN	TF: 1
system/NN	TF: 2
system/NNP	TF: 1
systems/NNS	TF: 2
taking/VBG	TF: 1
technicians/NNS	TF: 1
techniques/NNS	TF: 1
technology/NN	TF: 1
telecentre/NN	TF: 1
telecentres/NNS	TF: 2
telecoms/NNS	TF: 1
test/VB	TF: 1
testing/NN	TF: 1
thrust/NN	TF: 1
time/NN	TF: 1
told/VBD	TF: 1
topics/NNS	TF: 1
trained/VBD	TF: 1
training/NN	TF: 1
training/VBG	TF: 1
trends/NNS	TF: 1
turned/VBD	TF: 1
underlined/VBD	TF: 1
unites/VBZ	TF: 1
users/NNP	TF: 1
users/NNS	TF: 1
uses/VBZ	TF: 1
using/VBG	TF: 1
valley/NNP	TF: 3
wait/VB	TF: 1
was/VBD	TF: 4
water/NN	TF: 1
water/NNP	TF: 1
web/NN	TF: 1
website/NN	TF: 2
were/VBD	TF: 1
wireless/NN	TF: 2
women/NNS	TF: 2
world/NN	TF: 1
worth/NN	TF: 1
years/NNS	TF: 3


(tech7)
affect/VBP	TF: 1
announced/VBD	TF: 1
announced/VBN	TF: 1
announces/VBZ	TF: 1
are/VBP	TF: 2
attack/VB	TF: 1
attacker/NN	TF: 1
attacks/NNS	TF: 2
be/VB	TF: 3
bulletin/NN	TF: 1
businesses/NNS	TF: 1
buy/VB	TF: 1
came/VBD	TF: 1
change/NN	TF: 1
classed/VBN	TF: 1
company/NN	TF: 1
computers/NNS	TF: 1
considered/VBN	TF: 2
control/NN	TF: 1
data/NNS	TF: 1
delete/NN	TF: 1
designed/VBN	TF: 1
did/VBD	TF: 1
exploit/VB	TF: 1
exploiting/VBG	TF: 1
explorer/NNP	TF: 1
files/NNS	TF: 1
firm/NN	TF: 1
fixes/NN	TF: 1
fixes/NNS	TF: 2
fixes/VBZ	TF: 1
flagged/VBD	TF: 1
flaw/NN	TF: 3
flaws/NNS	TF: 4
follow/VBP	TF: 1
had/VBD	TF: 1
has/VBZ	TF: 2
hole/NN	TF: 1
holes/NNS	TF: 3
home/NN	TF: 1
ie/NNP	TF: 2
including/VBG	TF: 1
internet/NNP	TF: 1
is/VBZ	TF: 3
known/VBN	TF: 1
leave/VB	TF: 1
leave/VBP	TF: 1
left/VBN	TF: 1
machines/NNS	TF: 1
made/VBN	TF: 1
make/VB	TF: 1
maker/NN	TF: 1
manager/NN	TF: 1
many/NNP	TF: 1
media/NNP	TF: 1
media/NNS	TF: 1
messaging/NN	TF: 1
messenger/NNP	TF: 2
microsoft/NNP	TF: 6
month/NN	TF: 1
msn/NNP	TF: 1
number/NN	TF: 1
often/NNP	TF: 1
one/NN	TF: 1
ones/NNS	TF: 1
part/NN	TF: 1
patch/NN	TF: 1
patches/NNS	TF: 2
pc/NN	TF: 2
pcs/NNP	TF: 1
plans/NNS	TF: 1
player/NN	TF: 1
player/NNP	TF: 1
programs/NNS	TF: 5
released/VBN	TF: 1
releases/NNS	TF: 1
releases/VBZ	TF: 1
rule/VB	TF: 1
running/VBG	TF: 1
said/VBD	TF: 1
security/NN	TF: 6
see/VB	TF: 1
seen/VBN	TF: 1
software/NN	TF: 2
software/NNP	TF: 1
spates/NNS	TF: 1
stephen/NNP	TF: 1
sybari/NNP	TF: 1
systems/NNS	TF: 1
take/VB	TF: 2
toulouse/NNP	TF: 1
unpatched/VBD	TF: 1
update/VB	TF: 1
updated/VBN	TF: 1
use/VB	TF: 1
used/VBN	TF: 1
users/NNS	TF: 3
virus/NN	TF: 1
viruses/NNS	TF: 2
vulnerabilities/NNS	TF: 1
warned/VBN	TF: 1
was/VBD	TF: 1
week/NN	TF: 1
were/VBD	TF: 3
windows/NNP	TF: 3
writers/NNS	TF: 1


(tech8)
%/NN	TF: 1
ability/NN	TF: 1
address/NN	TF: 1
addresses/NNS	TF: 1
america/NNP	TF: 1
anyone/NN	TF: 1
appeared/VBD	TF: 1
april/NNP	TF: 1
are/VBP	TF: 1
attachment/NN	TF: 2
backdoor/NN	TF: 1
be/VB	TF: 1
bears/VBZ	TF: 1
been/VBN	TF: 1
body/NN	TF: 1
bug/NN	TF: 1
bulgaria/NNP	TF: 1
card/NN	TF: 2
cards/NNS	TF: 1
christmas/NNP	TF: 5
christmases/NNP	TF: 1
clients/NNS	TF: 1
code/NN	TF: 1
control/NN	TF: 1
depending/VBG	TF: 1
despatch/VB	TF: 1
disable/VB	TF: 1
disguising/VBG	TF: 1
f-secure/NNP	TF: 1
faces/VBZ	TF: 1
firm/NN	TF: 1
firms/NNS	TF: 2
get/VB	TF: 1
greeting/NN	TF: 1
hand/NN	TF: 1
has/VBZ	TF: 1
have/VB	TF: 1
have/VBP	TF: 1
heads/VBZ	TF: 1
helping/VBG	TF: 1
hoaxes/NNS	TF: 1
holidays/NNP	TF: 1
hungary/NNP	TF: 1
hypponen/NNP	TF: 1
image/NN	TF: 1
infected/VBN	TF: 3
is/VBZ	TF: 3
italy/NNP	TF: 1
language/NN	TF: 1
languages/NNS	TF: 1
line/NN	TF: 2
machines/NNS	TF: 1
mail-sending/NN	TF: 1
merry/NNP	TF: 1
message/NN	TF: 3
microsoft/NNP	TF: 1
mikko/NNP	TF: 1
net/NN	TF: 1
open/VB	TF: 1
opening/NN	TF: 1
opens/VBZ	TF: 1
outlook/NNP	TF: 1
paper/NN	TF: 1
pc/NN	TF: 1
pen/NN	TF: 1
person/NN	TF: 1
plunders/NNS	TF: 1
poses/NNS	TF: 1
poses/VBZ	TF: 1
prefer/VBP	TF: 1
program/NN	TF: 1
reads/NNS	TF: 1
receiving/VBG	TF: 1
recommend/VBP	TF: 1
said/VBD	TF: 2
says/VBZ	TF: 1
security/NN	TF: 1
seen/VBN	TF: 1
sent/VBN	TF: 1
smiley/NN	TF: 1
software/NN	TF: 2
sophos/NNP	TF: 1
south/NNP	TF: 1
spain/NNP	TF: 1
speculate/VBP	TF: 1
spread/NN	TF: 1
spread/VBN	TF: 1
suffix/NN	TF: 1
team/NN	TF: 1
thought/VBN	TF: 1
translated/VBN	TF: 1
translates/VBZ	TF: 2
travelling/VBG	TF: 1
tries/VBZ	TF: 1
users/NNS	TF: 1
uses/VBZ	TF: 1
victims/NNS	TF: 1
virus/NN	TF: 8
virus/NNP	TF: 1
viruses/NNS	TF: 1
warning/VBG	TF: 1
was/VBD	TF: 1
web/NN	TF: 1
windows/NNP	TF: 2
writer/NN	TF: 1
year/NN	TF: 1
zafi.d/NNP	TF: 1
zafi/NNP	TF: 2


(tech9)
'gadgets/NNS	TF: 1
're/VBP	TF: 1
's/VBZ	TF: 6
//NNP	TF: 1
a.d./NNP	TF: 1
a/NNP	TF: 1
a4/NNP	TF: 1
abacus/NN	TF: 1
age/NN	TF: 2
anyhting/VBG	TF: 1
apparatus/NN	TF: 1
apple/NNP	TF: 8
apps/NN	TF: 1
are/VBP	TF: 5
army/NN	TF: 1
army/NNP	TF: 3
asked/VBD	TF: 1
back/VB	TF: 1
ball/NN	TF: 1
batteries/NNS	TF: 2
be/VB	TF: 15
beat/VB	TF: 1
beauty/NN	TF: 1
been/VBN	TF: 1
blade/NN	TF: 1
blast/NN	TF: 1
blessed/VBD	TF: 1
boats/NNS	TF: 1
breville/NNP	TF: 1
brownie/NNP	TF: 1
calculator/NN	TF: 4
call/VB	TF: 1
camera/NN	TF: 2
carried/VBN	TF: 1
carry/VB	TF: 1
case/NNP	TF: 1
casio/NNP	TF: 2
cd/NN	TF: 1
cd/NNP	TF: 1
centuries/NNS	TF: 1
challenge/NN	TF: 1
change/VB	TF: 1
chosen/VBN	TF: 2
chronometer/NN	TF: 3
chronometer/NNP	TF: 1
clockwork/NN	TF: 1
communication/NN	TF: 1
communications/NNS	TF: 1
competition/NN	TF: 1
compiled/VBN	TF: 1
computer/NN	TF: 1
computers/NNS	TF: 2
computing/NN	TF: 1
concluded/VBD	TF: 1
congratulations/NNS	TF: 1
contains/VBZ	TF: 1
control/NN	TF: 3
couch/NN	TF: 1
created/VBD	TF: 1
crystalline/NN	TF: 1
culture/NN	TF: 1
cumbersome/NN	TF: 1
date/NN	TF: 1
dates/NNS	TF: 1
define/VB	TF: 1
demise/NN	TF: 1
design/NN	TF: 1
developed/VBN	TF: 1
device/NN	TF: 3
devices/NNS	TF: 1
diamound/NNP	TF: 1
did/VBD	TF: 2
disheartening/NN	TF: 1
dispenser/NN	TF: 1
do/VBP	TF: 3
dos/NNP	TF: 1
earn/VB	TF: 1
editors/NNS	TF: 1
effect/NN	TF: 1
egg/NN	TF: 1
electronics/NNS	TF: 1
elsener/NNP	TF: 1
emenating/VBG	TF: 1
end/NN	TF: 1
entry/NN	TF: 1
err/NN	TF: 1
everyone/NN	TF: 1
everything/NN	TF: 1
evolved/VBN	TF: 1
executive/NNP	TF: 1
explode/VB	TF: 1
fashion/NN	TF: 1
feature/VB	TF: 1
flash/NN	TF: 1
flipstart/NNP	TF: 1
forget/VB	TF: 1
forgot/VBD	TF: 1
front/NN	TF: 1
gadget/NN	TF: 14
gadgets/NNS	TF: 9
game/NN	TF: 1
gameboy/NNP	TF: 1
games/NNPS	TF: 1
gave/VBD	TF: 1
get/VB	TF: 1
given/VBN	TF: 1
go/VB	TF: 1
gone/VBN	TF: 1
got/VBD	TF: 1
got/VBN	TF: 1
gps/NNP	TF: 1
great/NNP	TF: 1
had/VBD	TF: 1
had/VBN	TF: 1
has/NNP	TF: 1
has/VBZ	TF: 9
have/VB	TF: 3
heart/NN	TF: 1
helped/VBD	TF: 2
hinge/NN	TF: 1
home/NN	TF: 1
hooves/NNS	TF: 1
horses/NNS	TF: 1
improvement/NN	TF: 1
improving/VBG	TF: 1
inc/NNP	TF: 1
include/VBP	TF: 2
included/VBD	TF: 1
includes/VBZ	TF: 2
inclusion/NN	TF: 1
info/NN	TF: 1
innovation/NN	TF: 1
insane/NN	TF: 1
integrated/VBN	TF: 1
ipod/NN	TF: 1
is/VBZ	TF: 14
it/NNP	TF: 1
items/NNS	TF: 1
journalists/NNS	TF: 1
karl/NNP	TF: 1
keep/VB	TF: 1
keyboard/NN	TF: 2
knife/NN	TF: 2
knife/NNP	TF: 3
kodak/NNP	TF: 1
lack/NN	TF: 1
laptop/NN	TF: 5
laptops/NNS	TF: 1
latter/NN	TF: 1
layout/NN	TF: 1
libretto/NNP	TF: 1
light/NN	TF: 1
list/NN	TF: 9
lists/NNS	TF: 1
living/NN	TF: 3
lot/NN	TF: 1
machine/NN	TF: 2
made/VBD	TF: 2
madonna/NNP	TF: 1
magazine/NN	TF: 7
make/VB	TF: 2
maker/NN	TF: 1
makes/VBZ	TF: 1
manage/NN	TF: 1
marine/NN	TF: 1
marine/NNP	TF: 1
market/NN	TF: 3
marketing/NN	TF: 1
marvel/NN	TF: 1
minidisc/NNP	TF: 1
mobile/NN	TF: 1
mobile/NNP	TF: 1
model/NN	TF: 1
modem/NN	TF: 1
moment/NN	TF: 1
motorola/NNP	TF: 2
moved/VBN	TF: 1
moving/VBG	TF: 1
mp3/NN	TF: 2
multimedia/NNP	TF: 1
navigation/NN	TF: 2
needed/VBD	TF: 2
net/NNP	TF: 1
netmd/NNP	TF: 1
newton/NNP	TF: 1
niche/NN	TF: 1
nintendo/NNP	TF: 1
noises/NNS	TF: 1
nokia/NNP	TF: 1
notebook/NN	TF: 3
notebooks/NNS	TF: 1
noteboook/NN	TF: 1
number/NN	TF: 4
number/NNP	TF: 1
obsession/NN	TF: 1
oddities/NNS	TF: 1
offerings/NNS	TF: 1
one/NNP	TF: 1
opener/NN	TF: 1
organiser/NNP	TF: 1
os/NNP	TF: 1
palm/NNP	TF: 1
paper/NN	TF: 1
particularly/NNP	TF: 1
parts/NNS	TF: 1
paved/VBD	TF: 1
pb100/NNP	TF: 1
pc/NN	TF: 4
pc/NNP	TF: 1
pcs/NNS	TF: 1
pda/NNP	TF: 1
pen/NN	TF: 1
people/NNS	TF: 2
perspective/NN	TF: 1
pez/NNP	TF: 1
phone/NN	TF: 5
phones/NNS	TF: 2
pie/NN	TF: 1
pilot/NNP	TF: 1
pity/NN	TF: 1
place/NN	TF: 1
played/VBD	TF: 1
player/NN	TF: 4
plenty/NN	TF: 1
plugged/VBD	TF: 1
pocket/NN	TF: 4
point/NN	TF: 1
position/NN	TF: 3
potato/NN	TF: 1
powerbook/NNP	TF: 2
product/NN	TF: 1
programming/NN	TF: 1
psion/NNP	TF: 2
publication/NN	TF: 1
pulsar/NNP	TF: 1
put/VB	TF: 1
put/VBD	TF: 1
put/VBN	TF: 1
putting/VBG	TF: 1
ql/VBZ	TF: 1
qv-10/NNP	TF: 1
qwerty/NN	TF: 1
radio/NN	TF: 2
radios/NNS	TF: 1
rank/VB	TF: 1
razor/NN	TF: 1
readers/NNS	TF: 2
reason/NN	TF: 1
recorder/NN	TF: 1
reflection/NN	TF: 1
remote/NN	TF: 1
remote/VB	TF: 2
reveals/VBZ	TF: 1
revolutionalised/VBN	TF: 1
ronco/NNP	TF: 1
rule/NN	TF: 1
runners/NNS	TF: 1
safety/NN	TF: 1
said/VBD	TF: 3
say/VBP	TF: 1
scrambler/NN	TF: 1
see/NN	TF: 1
seed/NN	TF: 1
series/NN	TF: 2
set/NN	TF: 2
sextant/NN	TF: 2
shame/VB	TF: 1
shell/NN	TF: 1
shown/VBN	TF: 1
sinclair/NNP	TF: 4
site/NN	TF: 1
size/NN	TF: 1
slide/NN	TF: 1
something/NN	TF: 1
sony/NNP	TF: 5
soon/NNP	TF: 1
space/NN	TF: 1
specified/VBD	TF: 1
spectrum/NNP	TF: 2
startac/NNP	TF: 2
stones/NNS	TF: 1
stood/VBD	TF: 1
storage/NN	TF: 1
subset/NN	TF: 1
subsumed/VBN	TF: 1
sweet/NN	TF: 1
systems/NNS	TF: 1
taking/VBG	TF: 1
tamagotchi/NNP	TF: 1
tandy/NNP	TF: 2
taste/NN	TF: 1
telephone/NN	TF: 2
tell/VB	TF: 1
test/NN	TF: 1
thing/NN	TF: 1
things/NNS	TF: 1
think/VBP	TF: 2
thousands/NNS	TF: 1
time/NN	TF: 5
timeless/NN	TF: 1
tin/NN	TF: 1
tinny/NN	TF: 1
